fetches,wallclock,fetch_ms,fetch_http,bytes,probe,probe_ms,note
356,17:04:19,41,200,3175,,0,
357,17:04:19,46,200,2986,,0,
358,17:04:19,40,200,3226,,0,
359,17:04:19,39,200,3058,,0,
360,17:04:28,51,200,3227,OK,8942,
361,17:04:28,33,200,3041,,0,
362,17:04:28,46,200,3229,,0,
363,17:04:28,35,200,3028,,0,
364,17:04:28,39,200,3246,,0,
365,17:04:28,52,200,2999,,0,
366,17:04:29,38,200,3328,,0,
367,17:04:29,39,200,3106,,0,
368,17:04:29,46,200,3275,,0,
369,17:04:29,40,200,3054,,0,
370,17:04:29,40,200,3242,,0,
371,17:04:29,48,200,2984,,0,
372,17:04:29,39,200,3247,,0,
373,17:04:29,37,200,3088,,0,
374,17:04:29,44,200,3325,,0,
375,17:04:29,39,200,3051,,0,
376,17:04:29,40,200,3249,,0,
377,17:04:29,38,200,3081,,0,
378,17:04:29,57,200,3263,,0,
379,17:04:29,41,200,3065,,0,
380,17:04:29,33,200,3202,,0,
381,17:04:29,44,200,3036,,0,
382,17:04:29,39,200,3191,,0,
383,17:04:29,38,200,3078,,0,
384,17:04:29,50,200,3225,,0,
385,17:04:29,35,200,3047,,0,
386,17:04:29,38,200,3196,,0,
387,17:04:29,44,200,3078,,0,
388,17:04:29,42,200,3217,,0,
389,17:04:29,40,200,3021,,0,
390,17:04:30,37,200,3247,,0,
391,17:04:30,46,200,3044,,0,
392,17:04:30,44,200,3227,,0,
393,17:04:30,33,200,3059,,0,
394,17:04:30,50,200,3219,,0,
395,17:04:30,42,200,3010,,0,
396,17:04:30,38,200,3204,,0,
397,17:04:30,48,200,3031,,0,
398,17:04:30,40,200,3169,,0,
399,17:04:30,37,200,3022,,0,
400,17:04:39,49,200,3151,OK,8938,
401,17:04:39,32,200,3280,,0,
402,17:04:39,48,200,3227,,0,
403,17:04:39,36,200,3124,,0,
404,17:04:39,40,200,3270,,0,
405,17:04:39,46,200,3143,,0,
406,17:04:39,42,200,3344,,0,
407,17:04:39,34,200,3185,,0,
408,17:04:39,43,200,3342,,0,
409,17:04:39,39,200,3177,,0,
410,17:04:39,37,200,3368,,0,
411,17:04:39,39,200,3146,,0,
412,17:04:39,44,200,3328,,0,
413,17:04:39,38,200,3134,,0,
414,17:04:39,40,200,3343,,0,
415,17:04:39,51,200,3168,,0,
416,17:04:40,36,200,3322,,0,
417,17:04:40,39,200,3158,,0,
418,17:04:40,47,200,3354,,0,
419,17:04:40,37,200,3139,,0,
420,17:04:40,41,200,3368,,0,
421,17:04:40,43,200,3105,,0,
422,17:04:40,38,200,3353,,0,
423,17:04:40,39,200,3108,,0,
424,17:04:40,39,200,3329,,0,
425,17:04:40,42,200,3107,,0,
426,17:04:40,39,200,3291,,0,
427,17:04:40,42,200,3010,,0,
428,17:04:40,47,200,3272,,0,
429,17:04:40,38,200,3005,,0,
430,17:04:40,41,200,3261,,0,
431,17:04:40,48,200,3010,,0,
432,17:04:40,38,200,3247,,0,
433,17:04:40,39,200,3038,,0,
434,17:04:40,43,200,3139,,0,
435,17:04:40,53,200,2957,,0,
436,17:04:40,41,200,3179,,0,
437,17:04:40,39,200,2998,,0,
438,17:04:40,44,200,3242,,0,
439,17:04:40,37,200,3027,,0,
440,17:04:49,39,200,3157,OK,8963,
441,17:04:50,34,200,2991,,0,
442,17:04:50,49,200,3144,,0,
443,17:04:50,40,200,3032,,0,
444,17:04:50,41,200,3219,,0,
445,17:04:50,46,200,2978,,0,
446,17:04:50,40,200,3123,,0,
447,17:04:50,42,200,2884,,0,
448,17:04:50,47,200,3108,,0,
449,17:04:50,36,200,2960,,0,
450,17:04:50,40,200,3108,,0,
451,17:04:50,45,200,2988,,0,
452,17:04:50,40,200,3131,,0,
453,17:04:50,34,200,2994,,0,
454,17:04:50,43,200,3135,,0,
