frame,wallclock,cycle_ms,iso,iso_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,file,medY,meanY,note
211,05:54:43,10081,1250,34,99,200,200,34,1,45,200,IMG_0461.CR3,0.00043,0.00026,
212,05:54:55,10067,1600,36,97,200,200,23,1,43,200,IMG_0462.CR3,0.00043,0.00026,
213,05:55:07,10083,1250,36,105,200,200,33,1,48,200,IMG_0463.CR3,0.00043,0.00026,
214,05:55:20,10069,1600,39,100,200,200,24,1,43,200,IMG_0464.CR3,0.00042,0.00025,
215,05:55:32,10086,1250,34,113,200,200,36,1,48,200,IMG_0465.CR3,0.00043,0.00026,
216,05:55:44,10079,1600,34,105,200,200,29,1,47,200,IMG_0466.CR3,0.00041,0.00024,
217,05:55:56,10077,1250,35,97,200,200,30,1,46,200,IMG_0467.CR3,0.00043,0.00025,
218,05:56:08,10081,1600,40,97,200,200,30,1,49,200,IMG_0468.CR3,0.00042,0.00025,
219,05:56:20,10077,1250,34,96,200,200,27,1,48,200,IMG_0469.CR3,0.00043,0.00026,
220,05:56:32,10081,1600,36,98,200,200,29,1,51,200,IMG_0470.CR3,0.00043,0.00026,
221,05:56:44,10072,1250,35,93,200,200,24,1,46,200,IMG_0471.CR3,0.00043,0.00026,
222,05:56:56,10077,1600,33,108,200,200,37,1,37,200,IMG_0472.CR3,0.00042,0.00025,
223,05:57:08,10075,1250,37,97,200,200,25,1,47,200,IMG_0473.CR3,0.00043,0.00026,
224,05:57:20,10082,1600,36,106,200,200,32,1,48,200,IMG_0474.CR3,0.00042,0.00025,
225,05:57:32,10085,1250,37,97,200,200,34,1,49,200,IMG_0475.CR3,0.00042,0.00025,
226,05:57:45,10084,1600,45,89,200,200,36,1,48,200,IMG_0476.CR3,0.00042,0.00024,
227,05:57:57,10078,1250,39,85,200,200,35,1,41,200,IMG_0477.CR3,0.00042,0.00025,
228,05:58:09,10075,1600,42,92,200,200,31,1,41,200,IMG_0478.CR3,0.00042,0.00025,
229,05:58:21,10067,1250,37,96,200,200,29,1,37,200,IMG_0479.CR3,0.00042,0.00025,
230,05:58:33,10087,1600,38,100,200,200,43,1,42,200,IMG_0480.CR3,0.00043,0.00026,
231,05:58:45,10076,1250,44,90,200,200,36,1,38,200,IMG_0481.CR3,0.00043,0.00026,
232,05:58:57,10072,1600,35,96,200,200,25,1,45,200,IMG_0482.CR3,0.00042,0.00025,
233,05:59:09,10083,1250,39,104,200,200,36,1,44,200,IMG_0483.CR3,0.00043,0.00026,
234,05:59:21,10071,1600,37,93,200,200,31,1,38,200,IMG_0484.CR3,0.00042,0.00025,
235,05:59:33,10076,1250,35,96,200,200,32,1,41,200,IMG_0485.CR3,0.00043,0.00026,
236,05:59:45,10080,1600,34,98,200,200,29,1,50,200,IMG_0486.CR3,0.00042,0.00025,
237,05:59:57,10075,1250,37,103,200,200,26,1,47,200,IMG_0487.CR3,0.00043,0.00026,
238,06:00:09,10080,1600,35,100,200,200,30,1,48,200,IMG_0488.CR3,0.00042,0.00025,
239,06:01:02,50570,1250,35,102,200,0,40569,3,0,0,IMG_0488.CR3,-1.00000,-1.00000,通知なし
